exam_year,question_id,question_type,topic,modality,gemma_answer,correct_answer
Fall2024,Q1,B,PCA,screenshot,C,C
Fall2024,Q1,B,PCA,text_desc,A,C
Fall2024,Q2,B,PCA,screenshot,A,A
Fall2024,Q2,B,PCA,text_desc,A,A
Fall2024,Q3,C,PCA,screenshot,D,C
Fall2024,Q3,C,PCA,text_desc,C,C
Fall2024,Q4,C,Bayes,screenshot,A,A
Fall2024,Q4,C,Bayes,text_desc,A,A
Fall2024,Q5,A,LogisticRegression,text,D,D
Fall2024,Q6,B,PCA,screenshot,B,B
Fall2024,Q6,B,PCA,text_desc,C,B
Fall2024,Q7,C,NaiveBayes,screenshot,A,A
Fall2024,Q7,C,NaiveBayes,text_desc,B,A
Fall2024,Q8,B,Regularization,screenshot,C,C
Fall2024,Q8,B,Regularization,text_desc,A,C
Fall2024,Q9,A,CrossValidation,text,B,B
Fall2024,Q10,C,LinearRegression,screenshot,B,B
Fall2024,Q10,C,LinearRegression,text_desc,B,B
Fall2024,Q11,C,Classification,screenshot,C,C
Fall2024,Q11,C,Classification,text_desc,B,C
Fall2024,Q12,A,Clustering,text,A,A
Fall2024,Q13,B,LogisticRegression,screenshot,A,B
Fall2024,Q13,B,LogisticRegression,text_desc,B,B
Fall2024,Q14,A,AssociationRules,text,D,D
Fall2024,Q15,B,Classifiers,screenshot,C,C
Fall2024,Q15,B,Classifiers,text_desc,A,C
Fall2024,Q16,A,Ensemble,text,E,D
Fall2024,Q17,C,AdaBoost,screenshot,B,B
Fall2024,Q17,C,AdaBoost,text_desc,C,B
Fall2024,Q18,C,CrossValidation,screenshot,D,D
Fall2024,Q18,C,CrossValidation,text_desc,D,D
Fall2024,Q19,A,CrossValidation,text,C,C
Fall2024,Q20,B,DecisionTree,screenshot,B,B
Fall2024,Q20,B,DecisionTree,text_desc,B,B
Fall2024,Q21,B,KNN,screenshot,A,A
Fall2024,Q21,B,KNN,text_desc,C,A
Fall2024,Q22,A,NeuralNetworks,text,D,D
Fall2024,Q23,C,Clustering,screenshot,B,C
Fall2024,Q23,C,Clustering,text_desc,C,C
Fall2024,Q24,C,McNemar,screenshot,B,B
Fall2024,Q24,C,McNemar,text_desc,B,B
Fall2024,Q25,B,ROC,screenshot,B,B
Fall2024,Q25,B,ROC,text_desc,A,B
Fall2024,Q26,C,NeuralNetworks,screenshot,A,C
Fall2024,Q26,C,NeuralNetworks,text_desc,C,C
Fall2024,Q27,C,GMM,screenshot,D,D
Fall2024,Q27,C,GMM,text_desc,D,D
Dec2022,Q1,B,PCA,screenshot,C,C
Dec2022,Q1,B,PCA,text_desc,B,C
Dec2022,Q2,A,LinearRegression,text,A,A
Dec2022,Q3,C,Clustering,screenshot,D,B
Dec2022,Q3,C,Clustering,text_desc,B,B
Dec2022,Q4,B,KNN,screenshot,A,A
Dec2022,Q4,B,KNN,text_desc,A,A
Dec2022,Q5,A,Regularization,text,C,D
Dec2022,Q6,C,NaiveBayes,screenshot,B,B
Dec2022,Q6,C,NaiveBayes,text_desc,B,B
Dec2022,Q7,A,Ensemble,text,A,A
Dec2022,Q8,B,DecisionTree,screenshot,C,C
Dec2022,Q8,B,DecisionTree,text_desc,C,C
Dec2022,Q9,C,NeuralNetworks,screenshot,B,D
Dec2022,Q9,C,NeuralNetworks,text_desc,D,D
Dec2022,Q10,A,CrossValidation,text,B,B
